old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,0,0,0,0.333333333,0.222222222,0.333333333,0,0.111111111,20,19,177,-54,0,0,0,0
0,0,0,0,0.4,0.2,0.4,0,0,20,19,113,-54,1,0,0,0
0,0,0,0,0.428571429,0.428571429,0.142857143,0,0,64,19,61,1000,0,1,0,0
0,1,0,0,0.428571429,0,0.142857143,0,0.428571429,20,3,17,1000,0,1,0,0
0,1,0,0,0.5,0,0.166666667,0,0.333333333,20,3,17,1000,0,0,0,0
0,0,0,0,0.75,0,0.25,0,0,20,3,17,1000,1,0,0,0
1,0,0,0,0,0,0.25,0,0.75,4,3,17,1000,1,0,0,0
1,0,0,0,0,0,0.333333333,0,0.666666667,4,3,17,1000,0,0,0,0
0,0,0,0,0,0,0.666666667,0,0.333333333,4,3,17,1000,0,0,0,0
0,0,0,0,0,0,0.5,0,0.5,4,3,17,1000,0,0,1,0
0,0,1,0,0,0,0,0.5,0.5,4,3,1,-72,0,0,1,0
0,0,1,0,0,0,0,0.666666667,0.333333333,4,3,1,-72,0,0,0,1
0,0,0,1,0,1,0,0,0,4,223,1,-55,0,0,0,1
0,0,0,1,0,0.666666667,0,0,0.333333333,4,119,1,-55,0,0,0,0
0,0,0,0,0.2,0.6,0,0,0.2,300,27,1,-55,0,0,0,0
0,0,0,0,0.2,0.6,0,0,0.2,220,19,1,-55,0,1,0,0
0,1,0,0,0.25,0,0,0,0.75,64,3,1,-55,0,1,0,0
0,1,0,0,0.333333333,0.333333333,0,0,0.333333333,20,159,1,-55,1,0,0,0
1,0,0,0,0.25,0.5,0,0,0.25,268,35,1,-55,1,0,0,0
1,0,0,0,0.4,0.4,0,0,0.2,180,19,1,-55,1,0,0,0
1,0,0,0,0.4,0.4,0,0.2,0,96,19,1,-258,0,1,0,0
0,1,0,0,0.333333333,0,0.166666667,0.166666667,0.333333333,20,3,317,-158,0,1,0,0
0,1,0,0,0.25,0.125,0.25,0.125,0.25,20,151,209,-66,0,1,0,0
0,1,0,0,0.333333333,0.166666667,0.333333333,0.166666667,0,20,27,85,-66,1,0,0,0
1,0,0,0,0,0.142857143,0.285714286,0.142857143,0.428571429,4,19,17,-66,1,0,0,0
1,0,0,0,0,0.25,0.25,0.125,0.375,4,19,17,-66,0,0,0,0
0,0,0,0,0,0.333333333,0.333333333,0.166666667,0.166666667,4,19,17,-66,0,0,0,0
0,0,0,0,0,0.4,0.4,0.2,0,4,19,17,-66,0,1,0,0
0,1,0,0,0,0,0.4,0.2,0.4,4,3,17,-66,0,1,0,0
0,1,0,0,0,0,0.333333333,0.166666667,0.5,4,3,17,-66,0,0,0,0
0,0,0,0,0,0.2,0.4,0.2,0.2,4,227,17,-66,0,0,1,0
0,0,1,0,0,0.333333333,0,0.166666667,0.5,4,55,1,-66,0,0,1,0
0,0,1,0,0,0.5,0,0.25,0.25,4,19,1,-66,0,1,0,0
0,1,0,0,0,0.25,0,0.25,0.5,4,159,1,-66,0,1,0,0
0,1,0,0,0,0.5,0,0.25,0.25,4,51,1,-66,0,1,0,0
0,1,0,0,0,0.5,0,0.25,0.25,4,51,1,-66,0,0,0,1
0,0,0,1,0,1,0,0,0,4,19,1,-50,0,0,0,0
0,0,0,0,0,1,0,0,0,4,19,1,-50,0,1,0,0
0,1,0,0,0,0.4,0,0,0.6,4,15,1,-50,0,1,0,0
0,1,0,0,0.142857143,0.142857143,0,0.142857143,0.571428571,268,107,1,-238,0,1,0,0
0,1,0,0,0.333333333,0.166666667,0,0.333333333,0.166666667,88,191,1,-66,0,0,0,0
0,0,0,0,0.222222222,0.222222222,0,0.222222222,0.333333333,20,19,1,-66,0,0,0,1
0,0,0,1,0.4,0.4,0,0,0.2,20,19,1,-53,0,0,0,1
0,0,0,1,0.5,0.5,0,0,0,20,19,1,-53,0,0,0,1
0,0,0,1,0.4,0.6,0,0,0,20,19,1,-53,1,0,0,0
1,0,0,0,0,0.666666667,0.166666667,0,0.166666667,4,19,197,-53,1,0,0,0
1,0,0,0,0,0.714285714,0.142857143,0,0.142857143,4,19,105,-53,1,0,0,0
1,0,0,0,0,0.833333333,0.166666667,0,0,4,19,17,-53,0,0,0,0
1,0,0,0,0,0.833333333,0.166666667,0,0,4,19,17,-53,0,1,0,0
0,1,0,0,0,0.428571429,0.285714286,0,0.285714286,4,11,17,-53,0,1,0,0
0,1,0,0,0,0.2,0.4,0,0.4,4,23,17,-53,0,1,0,0
0,1,0,0,0,0,0.5,0,0.5,4,3,17,-53,0,0,0,0
0,0,0,0,0.333333333,0,0.666666667,0,0,320,3,17,-53,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,172,239,245,-157,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,60,127,133,-69,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,60,127,133,-69,0,0,0,0
0,0,0,0,0.2,0.2,0.4,0.2,0,20,19,25,-69,1,0,0,0
1,0,0,0,0,0.2,0.4,0.2,0.2,4,19,17,-69,1,0,0,0
1,0,0,0,0,0.2,0.4,0.2,0.2,4,19,17,-69,0,0,0,0
0,0,0,0,0,0.285714286,0.428571429,0.285714286,0,4,19,17,-69,0,0,1,0
0,0,1,0,0,0.333333333,0.166666667,0.333333333,0.166666667,4,19,201,-69,0,0,1,0
0,0,1,0,0,0.4,0.2,0.4,0,4,19,45,-69,0,0,1,0
0,0,1,0,0,0.4,0.2,0.4,0,4,19,45,-69,0,0,0,1
0,0,0,1,0.2,0.4,0.2,0,0.2,268,19,17,-53,0,0,0,1
0,0,0,1,0.2,0.4,0.2,0.2,0,96,19,17,-241,0,1,0,0
0,1,0,0,0.2,0.2,0.2,0.2,0.2,20,191,17,-129,0,1,0,0
0,1,0,0,0.2,0.2,0.2,0.2,0.2,20,119,17,-69,0,0,0,0
0,0,0,0,0.25,0.25,0.25,0.25,0,20,19,17,-69,0,0,1,0
0,0,1,0,0.25,0.25,0,0.25,0.25,20,19,1,-69,0,0,1,0
0,0,1,0,0.142857143,0.428571429,0.285714286,0.142857143,0,20,19,145,-69,0,0,1,0
