old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,1,0,0,0,0.5,0,0,0.5,1000,181,1000,1000,0,1,0,0
0,1,0,0,0,0.333333333,0,0.333333333,0.333333333,1000,97,1000,215,0,1,0,0
0,1,0,0,0,0.333333333,0,0.333333333,0.333333333,1000,37,1000,155,0,1,0,0
0,1,0,0,0,0,0,0.5,0.5,1000,1000,1000,63,0,0,0,0
0,0,0,0,0,0,0,0.5,0.5,1000,1000,1000,63,0,0,0,0
0,0,0,0,0,0,0.5,0.5,0,1000,1000,251,63,0,0,0,1
0,0,0,1,0,0.25,0.25,0.25,0.25,1000,233,135,198,0,0,0,1
0,0,0,1,0,0.2,0.2,0.4,0.2,1000,179,81,144,0,0,0,1
0,0,0,1,0,0.25,0.25,0.5,0,1000,109,11,74,0,0,0,1
0,0,0,1,0,0.25,0.25,0.25,0.25,1000,9,9,50,0,0,0,1
0,0,0,1,0,0.4,0.2,0,0.4,1000,9,9,1000,0,0,0,0
0,0,0,0,0,0.5,0.25,0.25,0,1000,9,9,175,0,1,0,0
0,1,0,0,0,0,0.25,0.25,0.5,1000,1000,9,97,0,0,0,0
0,0,0,0,0,0,0.25,0.25,0.5,1000,1000,9,61,0,0,0,0
0,0,0,0,0,0,0.666666667,0.333333333,0,1000,1000,9,61,0,0,1,0
0,0,1,0,0,0.25,0.25,0.5,0,1000,223,99,61,0,0,0,1
0,0,0,1,0,0.333333333,0.333333333,0.333333333,0,1000,159,35,99,0,0,0,1
0,0,0,1,0,0.333333333,0.333333333,0.333333333,0,1000,111,9,51,0,0,0,1
0,0,0,1,0,0.333333333,0.333333333,0,0.333333333,1000,9,9,1000,0,0,0,0
0,0,0,0,0,0.5,0.5,0,0,1000,9,9,1000,0,0,1,0
0,0,1,0,0,0.75,0,0,0.25,1000,9,1000,1000,0,0,0,0
0,0,0,0,0,0.75,0,0,0.25,1000,9,1000,1000,0,0,0,0
0,0,0,0,0,1,0,0,0,1000,9,1000,1000,0,1,0,0
0,1,0,0,0,0.5,0,0,0.5,1000,3,1000,1000,0,1,0,0
0,1,0,0,0,0.25,0,0,0.75,1000,57,1000,1000,0,1,0,0
0,1,0,0,0,0.25,0,0,0.75,1000,37,1000,1000,0,1,0,0
0,1,0,0,0,0,0,0,1,1000,1000,1000,1000,0,1,0,0
0,0,0,0,0,0.111111111,0.777777778,0.111111111,0,1000,9,9,141,0,0,1,0
0,0,1,0,0,0.111111111,0.333333333,0.111111111,0.444444444,1000,9,55,65,0,0,1,0
0,0,1,0,0,0.125,0.375,0.25,0.25,1000,9,5,61,0,0,1,0
0,0,1,0,0,0.142857143,0.142857143,0.285714286,0.428571429,1000,9,7,61,0,0,1,0
0,0,1,0,0,0.166666667,0,0.333333333,0.5,1000,9,1000,61,0,0,0,0
0,0,0,0,0,0.2,0,0.4,0.4,1000,9,1000,61,0,0,0,0
0,0,0,0,0,0.25,0,0.5,0.25,1000,9,1000,61,0,0,0,0
